# lane	index_id	body_id	body_file	body_line	confidence
# Generated from the five published LN-CONCORDANCE.md mapping tables (see _RESIDUE.md section 5).
# body_id NONE == residue: the index promises it and no body exists anywhere. 35 such rows, all L4.
# Four L4 grades were downgraded HIGH->MED by adversarial verification: L4-P2-06, L4-P3-03, L4-P4-09, L4-P8-04.
L1	L1-001	L1-001	L1-05-tasks.md	246	EXACT
L1	L1-002	L1-002	L1-05-tasks.md	295	EXACT
L1	L1-003	L1-003	L1-05-tasks.md	351	EXACT
L1	L1-004	L1-004	L1-05-tasks.md	421	EXACT
L1	L1-005	L1-005	L1-05-tasks.md	475	EXACT
L1	L1-101	L1-101	L1-05-tasks.md	549	EXACT
L1	L1-102	L1-102	L1-05-tasks.md	628	EXACT
L1	L1-103	L1-103	L1-05-tasks.md	671	EXACT
L1	L1-104	L1-104	L1-05-tasks.md	732	EXACT
L1	L1-105	L1-105	L1-05-tasks.md	812	EXACT
L1	L1-106	L1-106	L1-05-tasks.md	849	EXACT
L1	L1-107	L1-107	L1-05-tasks.md	900	EXACT
L1	L1-108	L1-108	L1-05-tasks.md	944	EXACT
L1	L1-201	L1-201	L1-05-tasks.md	1014	EXACT
L1	L1-202	L1-202	L1-05-tasks.md	1053	EXACT
L1	L1-203	L1-203	L1-05-tasks.md	1107	EXACT
L1	L1-204	L1-204	L1-05-tasks.md	1143	EXACT
L1	L1-205	L1-205	L1-05-tasks.md	1195	EXACT
L1	L1-206	L1-206	L1-05-tasks.md	1238	EXACT
L1	L1-207	L1-207	L1-05-tasks.md	1279	EXACT
L1	L1-301	L1-301	L1-05-tasks.md	1343	EXACT
L1	L1-302	L1-302	L1-05-tasks.md	1398	EXACT
L1	L1-303	L1-303	L1-05-tasks.md	1455	EXACT
L1	L1-304	L1-304	L1-05-tasks.md	1526	EXACT
L1	L1-305	L1-305	L1-05-tasks.md	1611	EXACT
L1	L1-306	L1-306	L1-05-tasks.md	1673	EXACT
L1	L1-307	L1-307	L1-05-tasks.md	1735	EXACT
L1	L1-308	L1-308	L1-05-tasks.md	1804	EXACT
L1	L1-309	L1-309	L1-05-tasks.md	1856	EXACT
L1	L1-310	L1-310	L1-05-tasks.md	1899	EXACT
L1	L1-311	L1-311	L1-05-tasks.md	1956	EXACT
L1	L1-401	L1-401	L1-05-tasks.md	2015	EXACT
L1	L1-402	L1-402	L1-05-tasks.md	2168	EXACT
L1	L1-403	L1-403	L1-05-tasks.md	2256	EXACT
L1	L1-404	L1-404	L1-05-tasks.md	2338	EXACT
L1	L1-501	L1-501	L1-05-tasks.md	2525	EXACT
L1	L1-502	L1-502	L1-05-tasks.md	2637	EXACT
L1	L1-503	L1-503	L1-05-tasks.md	2728	EXACT
L1	L1-504	L1-504	L1-05-tasks.md	2847	EXACT
L1	L1-505	L1-505	L1-05-tasks.md	2993	EXACT
L1	L1-601	L1-601	L1-05-tasks.md	3279	EXACT
L1	L1-602	L1-602	L1-05-tasks.md	3438	EXACT
L1	L1-603	L1-603	L1-05-tasks.md	3555	EXACT
L1	L1-604	L1-604	L1-05-tasks.md	3723	EXACT
L1	L1-605	L1-605	L1-05-tasks.md	3827	EXACT
L1	L1-606	L1-606	L1-05-tasks.md	4018	EXACT
L1	L1-607	L1-607	L1-05-tasks.md	4152	EXACT
L1	L1-608	L1-608	L1-05-tasks.md	4353	EXACT
L1	L1-701	L1-701	L1-05-tasks.md	4501	EXACT
L1	L1-702	L1-702	L1-05-tasks.md	4641	EXACT
L1	L1-703	L1-703	L1-05-tasks.md	4748	EXACT
L1	L1-704	L1-704	L1-05-tasks.md	4853	EXACT
L1	L1-705	L1-705	L1-05-tasks.md	4974	EXACT
L1	L1-801	L1-801	L1-05-tasks.md	5085	EXACT
L1	L1-802	L1-802	L1-05-tasks.md	5284	EXACT
L1	L1-803	L1-803	L1-05-tasks.md	5393	EXACT
L1	L1-901	L1-901	L1-05-tasks.md	5528	EXACT
L1	L1-902	L1-902	L1-05-tasks.md	5631	EXACT
L1	L1-903	L1-903	L1-05-tasks.md	5770	EXACT
L1	L1-904	L1-904	L1-05-tasks.md	5855	EXACT
L1	L1-905	L1-905	L1-05-tasks.md	5949	EXACT
L2	L2-T001	L2-T001	L2-00-charter.md	355	high
L2	L2-T002	L2-T002	L2-00-charter.md	422	high
L2	L2-T003	L2-T003	L2-00-charter.md	505	high
L2	L2-T004	L2-T004	L2-00-charter.md	609	high
L2	L2-T005	L2-T005	L2-00-charter.md	728	high
L2	L2-T006	L2-T006	L2-00-charter.md	822	high
L2	L2-T100	L2-T100	L2-05-tasks.md	762	high
L2	L2-T101	L2-T101	L2-05-tasks.md	801	high
L2	L2-T102	L2-T102	L2-05-tasks.md	840	high
L2	L2-T103	L2-T103	L2-05-tasks.md	879	high
L2	L2-T104	L2-T104	L2-05-tasks.md	920	high
L2	L2-T105	L2-T105	L2-05-tasks.md	959	high
L2	L2-T106	L2-T106	L2-05-tasks.md	998	high
L2	L2-T107	L2-T107	L2-05-tasks.md	1050	high
L2	L2-T108	L2-T108	L2-05-tasks.md	1089	high
L2	L2-T109	L2-T109	L2-05-tasks.md	1128	high
L2	L2-T110	L2-T110	L2-05-tasks.md	1167	high
L2	L2-T111	L2-T111	L2-05-tasks.md	1213	high
L2	L2-T112	L2-T112	L2-05-tasks.md	1299	high
L2	L2-T120	L2-T120	L2-05-tasks.md	1537	high
L2	L2-T121	L2-T121	L2-05-tasks.md	1579	high
L2	L2-T130	L2-T130	L2-05-tasks.md	1959	high
L2	L2-T131	L2-T131	L2-05-tasks.md	2008	high
L2	L2-T132	L2-T132	L2-05-tasks.md	2063	high
L2	L2-T133	L2-T133	L2-05-tasks.md	2118	high
L2	L2-T134	L2-T134	L2-05-tasks.md	2169	high
L2	L2-T136	L2-T136	L2-05-tasks.md	2216	high
L2	L2-T137	L2-T137	L2-05-tasks.md	2263	high
L2	L2-T138	L2-T138	L2-05-tasks.md	2395	high
L2	L2-T139	L2-T139	L2-05-tasks.md	2602	high
L2	L2-T140	L2-T140	L2-05-tasks.md	2693	high
L2	L2-T141	L2-T141	L2-05-tasks.md	2774	high
L2	L2-T142	L2-T142	L2-05-tasks.md	2813	high
L2	L2-T143	L2-T143	L2-05-tasks.md	2909	high
